,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Vaini,-21.2,-175.2,82.4,83,20,3.44,TO,1619214654
1,Qaanaaq,77.484,-69.3632,22.28,83,100,4.63,GL,1619214490
2,Kimberley,-28.7323,24.7623,53.6,54,0,8.05,ZA,1619214654
3,Kütahya,39.4242,29.9833,53.6,62,0,10.36,TR,1619214654
4,Bluff,-46.6,168.3333,46.0,94,82,16.17,NZ,1619214655
5,Punta Arenas,-53.15,-70.9167,46.4,93,75,3.44,CL,1619214675
6,Port Alfred,-33.5906,26.891,66.43,72,0,21.41,ZA,1619214232
7,Jamestown,42.097,-79.2353,55.4,30,1,17.27,US,1619214453
8,Flinders,-34.5833,150.8552,54.0,75,89,1.01,AU,1619214328
9,Rikitea,-23.1203,-134.9692,79.11,68,100,17.56,PF,1619214675
10,Port Lincoln,-34.7333,135.8667,59.4,73,78,4.07,AU,1619214696
11,Cidreira,-30.1811,-50.2056,70.59,78,2,18.07,BR,1619214206
12,Barrow,71.2906,-156.7887,19.4,79,1,3.44,US,1619214696
13,Puerto Ayora,-0.7393,-90.3518,84.2,70,20,17.27,EC,1619214696
14,Vanimo,-2.6741,141.3028,78.82,86,100,3.02,PG,1619214655
15,Tasiilaq,65.6145,-37.6368,37.4,48,75,4.61,GL,1619214717
16,Tiksi,71.6872,128.8694,7.45,94,98,7.36,RU,1619214508
17,Hermanus,-34.4187,19.2345,57.0,87,98,1.99,ZA,1619214717
18,Viedma,-40.8135,-62.9967,63.61,52,44,8.39,AR,1619214598
19,Campos Novos,-27.4017,-51.225,57.36,55,1,2.93,BR,1619214718
