,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Oistins,13.0667,-59.5333,84.2,54,40,18.41,BB,1619208698
1,Ribeira Grande,38.5167,-28.7,60.8,67,20,31.07,PT,1619208699
2,Poshekhon'ye,58.4993,39.1353,39.79,96,94,3.85,RU,1619208699
3,Hermanus,-34.4187,19.2345,60.01,82,100,1.99,ZA,1619208571
4,Gamba,-2.65,10.0,78.6,87,100,3.89,GA,1619208699
5,Constitución,-35.3333,-72.4167,61.66,62,0,9.82,CL,1619208656
6,Arrondissement d'Issoudun,47.0,1.8333,62.6,33,0,8.05,FR,1619208720
7,Arraial do Cabo,-22.9661,-42.0278,77.0,78,0,19.57,BR,1619208720
8,Puerto Ayora,-0.7393,-90.3518,84.2,70,20,19.57,EC,1619208605
9,Mar del Plata,-38.0023,-57.5575,75.2,69,40,5.75,AR,1619208554
10,Kutum,14.2,24.6667,81.75,16,66,10.71,SD,1619208741
11,Thunder Bay,48.4001,-89.3168,62.6,31,75,14.97,CA,1619208741
12,‘Āhuimanu,21.4447,-157.8378,82.4,65,75,13.8,US,1619208741
13,Itaperuçu,-25.22,-49.3478,68.0,64,40,11.5,BR,1619208741
14,Jiangkou,25.4872,119.1986,66.2,88,75,17.9,CN,1619208742
15,Cap Malheureux,-19.9842,57.6142,79.0,79,98,4.0,MU,1619208762
16,Kapaa,22.0752,-159.319,80.6,61,40,14.97,US,1619208701
17,Ushuaia,-54.8,-68.3,44.6,81,75,2.3,AR,1619208762
18,Suda,59.1525,37.5582,42.8,100,75,4.47,RU,1619208763
